Dep,Dest,Evenodd,Restriction,Route
OIII,OIFK,ODD,,ELUSI W13 GOLSO
OIII,OIFK,ODD,,EGVEL
OIII,OIFM,ODD,,ELUSI W13 PEKAM
OIII,OIFM,ODD,,EGVEL P574 PEKAM
OIII,OIGG,EVEN,,PAROT W161 RARTA
OIII,OIHH,EVEN,,SAV M434 ORLOG
OIII,OIKB,ODD,,OBRIX M715 PURKI W32 ASMUK
OIII,OIKJ,ODD,,OBRIX M715 PURKI W32 SOLAK G665 RIGUT
OIII,OIKJ,ODD,,OBRIX M715 PURKI W32 SOLAK G665 NANTO
OIII,OIKK,ODD,,OBRIX M715 PURKI W32 YZD L124 ALMOB
OIII,OIKK,ODD,,OBRIX M715 PURKI W32 YZD R654 ALMOB
OIII,OIKM,ODD,,OBRIX M715 EGRES W139 ORDAD
OIII,OIKQ,ODD,,OBRIX M715 PURKI W32 ASMUK
OIII,OIKR,ODD,,OBRIX M715 PURKI W32 YZD W5 DAPOX
OIII,OIKY,ODD,,OBRIX M715 PURKI W32 DAVUT
OIII,OIMB,ODD,,OBRIX M715 RERET W159 TULKU
OIII,OIMJ,ODD,,DHN B451 ITMEL
OIII,OIMM,ODD,,DHN B411 RIBUX
OIII,OIMN,ODD,,DHN A414 EGLUL
OIII,OIMN,ODD,,DHN B451 RIBOB
OIII,OIMN,ODD,,DHN B411 ITELO L720 TULER
OIII,OIMT,ODD,,OBRIX M715 RERET W159 ALMUD
OIII,OING,ODD,,DHN A414 IMPIR
OIII,OINZ,ODD,,DHN A414 LABET
OIII,OITK,EVEN,,PAROT L125 BUDED L333 BORES
OIII,OITK,EVEN,,PAROT L125 BUDED R660 BORES
OIII,OITL,EVEN,,PAROT W161 RST A416 GIVTA
OIII,OITT,EVEN,,PAROT L125 BUDED L333 RAKED
OIII,OITT,EVEN,,PAROT L125 BUDED R660 RAKED
OIII,OITT,EVEN,,PAROT W161 RST R660 RAKED
OIII,OISS,ODD,,ELUSI W13 PEKAM P574 ASNIT
OIII,OISS,ODD,,EGVEL P574 ASNIT
OIII,OISY,ODD,,ELUSI W13 PEKAM P574 OBTUX W144 MIPUL
OIII,OISY,ODD,,ELUSI W13 PEKAM P574 OBTUX Q25 MIPUL
OIII,OISY,ODD,,EGVEL P574 OBTUX W144 MIPUL
OIII,OISY,ODD,,EGVEL P574 OBTUX Q25 MIPUL
OIII,OIYY,ODD,,OBRIX M715 PURKI W32 BONOL
OIII,OIZB,ODD,,OBRIX M715 RERET W159 ROVAD G208 DAR W137 ELOKA
OIII,OIZB,ODD,,OBRIX M715 RERET W159 ROVAD L125 DAR W137 ELOKA
OIII,OIZC,ODD,,OBRIX M715 PURKI W32 YZD R654 EGPER
OIII,OIZH,ODD,,OBRIX M715 SILKO G452 DANUS
OIII,LT,EVEN,,PAROT L125 BUDED L333 DASIS
OIII,LT,EVEN,,PAROT L125 BUDED R660 DASIS
OIII,OA,ODD,,DHN B411 MSD B411 PAMTU
OIII,OA,ODD,,DHN B411 MSD G792 PAMTU
OIII,OA,ODD,,DHN B411 GIBAB L333 SOKAM
OIII,OB,ODD,,EGVEL P574 SYZ G663 ALSER
OIII,OT,ODD,,EGVEL P574 SYZ R659 MIDSI
OIII,OK,EVEN,,EGVEL N72 TULAX
OIII,OK,EVEN,,EGVEL B417 TULAX
OIII,OO,ODD,,EGVEL P574 SYZ G666 ORSAR
OIII,OO,ODD,,OBRIX M715 PURKI W32 SRJ L430 MESPO
OIII,OP,ODD,,OBRIX M715 SILKO G452 DERBO
OIII,OP,ODD,,OBRIX M715 PEKES L124 KEBUD
OIII,OR,EVEN,,PAVET A647 RAGET
OIII,UB,EVEN,,PAROT W161 RST G670 LALDA
OIII,UD,EVEN,,PAROT W161 RST B121 MAGRI
OIII,UT,ODD,,DHN B411 ITELO L720 RIKOP
OIIE,LT,EVEN,,PAROT L125 BUDED L333 DASIS
OIIE,LT,EVEN,,PAROT L125 BUDED R660 DASIS
OIIE,OA,ODD,,DHN B411 MSD B411 PAMTU
OIIE,OA,ODD,,DHN B411 MSD G792 PAMTU
OIIE,OA,ODD,,DHN B411 GIBAB L333 SOKAM
OIIE,OB,ODD,,EGVEL P574 SYZ G663 ALSER
OIIE,OT,ODD,,EGVEL P574 SYZ R659 MIDSI
OIIE,OK,EVEN,,EGVEL N72 TULAX
OIIE,OK,EVEN,,EGVEL B417 TULAX
OIIE,OO,ODD,,EGVEL P574 SYZ G666 ORSAR
OIIE,OO,ODD,,OBRIX M715 PURKI W32 SRJ L430 MESPO
OIIE,OP,ODD,,OBRIX M715 SILKO G452 DERBO
OIIE,OP,ODD,,OBRIX M715 PEKES L124 KEBUD
OIIE,OR,EVEN,,PAVET A647 RAGET
OIIE,UB,EVEN,,PAROT W161 RST G670 LALDA
OIIE,UD,EVEN,,PAROT W161 RST B121 MAGRI
OIIE,UT,ODD,,DHN B411 ITELO L720 RIKOP
OIKB,OIBK,EVEN,,KHM M561 MIVUN
OIKB,OIFM,EVEN,,ASMUK W32 YZD R654 LADAL
OIKB,OIFM,EVEN,,MOBON W10 SYZ R659 GESIP
OIKB,OIGG,EVEN,,ASMUK W32 ROVAD L125 IKA R661 RUS W161 RARTA
OIKB,OIGG,EVEN,,ASMUK W32 ROVAD G208 IKA R661 RUS W161 RARTA
OIKB,OIII,EVEN,,ASMUK W32 ROVAD  L125 RADAL
OIKB,OIII,EVEN,,ASMUK W32 ROVAD G208 RADAL
OIKB,OIKK,ODD,,ASMUK M318 ASMET Q14 ALMEK
OIKB,OIMM,ODD,,ASMUK M318 TBS G663 RAMIL
OIKB,OINZ,EVEN,,ASMUK W32 ROVAD G208 ELEDI N39 NSH A416 MODEK
OIKB,OINZ,EVEN,,ASMUK W32 ROVAD L125 ELEDI N39 NSH A416 MODEK
OIKB,OITT,EVEN,`,SID MOBON W10 SYZ P574 SAV R654 ZAJ R654 BUDED R660 RAKED
OIKB,OITT,EVEN,,SID MOBON W10 SYZ P574 SAV L124 ZAJ R654 BUDED L333 RAKED
OIKJ,OIII,EVEN,,RIGUT G665 SOLAK W32 ROVAD G208 RADAL
OIKJ,OIII,EVEN,,RIGUT G665 SOLAK W32 ROVAD L125 RADAL
OIKJ,OIII,EVEN,,NANTO G665 SOLAK W32 ROVAD L125 RADAL
OIKJ,OIII,EVEN,,NANTO G665 SOLAK W32 ROVAD G208 RADAL
OIKK,OIBK,ODD,,ALMEK M324 BND A453 KHM M561 MIVUN
OIKK,OIII,EVEN,,ALMOB R654 YZD W32 ROVAD G208 RADAL
OIKK,OIII,EVEN,,ALMOB L124 YZD W32 ROVAD L125 RADAL
OIKK,OIII,EVEN,,ALMOB R654 YZD W32 ROVAD L125 RADAL
OIKK,OIII,EVEN,,ALMOB L124 YZD W32 ROVAD G208 RADAL
OIKK,OIKB,ODD,,ALMEK M324 TAVNO
OIKK,OIMM,ODD,,ALGUV B418 BJD G775 NOTSO
OIKM,OIII,EVEN,,ORDAD W139 DAR L125 RADAL
OIKM,OIII,EVEN,,ORDAD W139 DAR G208 RADAL
OIKQ,OIGG,EVEN,,BND W32 ROVAD G208 IKA R661 RUS W161 RARTA
OIKQ,OIGG,EVEN,,BND W32 ROVAD L125 IKA R661 RUS W161 RARTA
OIKQ,OIII,EVEN,,BND W32 ROVAD G208 RADAL
OIKQ,OIII,EVEN,,BND W32 ROVAD L125 RADAL 
OIKQ,OINZ,EVEN,,BND W32 ROVAD G208  ELEDI N39 NSH A416 MODEK
OIKQ,OINZ,EVEN,,BND W32 ROVAD L125 ELEDI N39 NSH A416 MODEK
OIKQ,OITT,EVEN,,BND W10 SYZ P574 SAV R654 ZAJ R654 BUDED R660 RAKED
OIKQ,OITT,EVEN,,BND W10 SYZ P574 SAV L124 ZAJ R654 BUDED L333 RAKED
OIKQ,OIFM,EVEN,,MOBON W10 SYZ R659 GESIP
OIKQ,OIMM,ODD,,BND W32 ASMUK M318 TBS G663 RAMIL
OIKR,OIII,EVEN,,DAPOX W5 YZD W32 ROVAD G208 RADAL
OIKR,OIII,EVEN,,DAPOX W5 YZD W32 ROVAD L125 RADAL
OIKY,OIII,EVEN,,DAVUT W32 ROVAD G208 RADAL
OIKY,OIII,EVEN,,DAVUT W32 ROVAD L125 RADAL
OIMB,OIII,EVEN,,TULKU W159 ROVAD G208 RADAL
OIMB,OIII,EVEN,,TULKU W159 ROVAD L125 RADAL
OIMJ,OIII,EVEN,,ITMEL B451 RAPKI A647 MUXOR
OIMM,OIAA,EVEN,,RAMIL G663 ORSOK G202 ISN W6 IMKEN B417 MAH W31 BOPIS
OIMM,OIAA,EVEN,,RAMIL G663 ORSOK G202 ISN W6 IMKEN N72 MAH W31 BOPIS
OIMM,OINZ,EVEN,,ORDOB A647 SBZ A416 ODKOL Z710 PUSAL
OIMM,OINZ,EVEN,,BOTEK G792 BRD A414 DATOL
OIMM,OIBK,EVEN,,RAMIL G663 TASLU M324 BND A453 KHM M561 MIVUN
OIMM,OICC,EVEN,,ORDOB A647 ASRIL
OIMM,OICI,EVEN,,RAMIL G663 ORSOK G202 ALTET
OIMM,OIFK,EVEN,,ORDOB A647 VR W13 GOLSO
OIMM,OIHR,EVEN,,ORDOB A647 RUS G667 SAV B417 EGVEL W7 DEKBA
OIMM,OIHR,EVEN,,ORDOB A647 RUS G667 SAV N72 EGVEL W7 DEKBA
OIMM,OIII,EVEN,,ORDOB A647 MUXOR
OIMM,OIIP,EVEN,,ORDOB A647 SBZ A416 ODKOL Z710 DNZ A416 RSR W150 PAXID
OIMM,OIKB,EVEN,,RAMIL G663 TASLU M324 TAVNO
OIMM,OIKK,EVEN,,RAMIL G663 TASLU M324 ALGUV
